time, BrdU
17.629882620077503, 0.9365482233502538
17.918875554763225, 0.8781725888324873
17.68768120701465, 0.8248730964467006
20.564474511386138, 0.766497461928934
20.64066355780328, 0.6192893401015228
27.384707769969133, 0.5888324873096447
20.927029283991857, 0.565989847715736
20.959869390206144, 0.5025380710659897
20.979573453934712, 0.464467005076142
27.96269363934058, 0.47208121827411154
20.54477044765757, 0.30456852791878164
28.083545230209154, 0.2385786802030455
27.542340279797713, 0.2842639593908628
28.050705123994867, 0.30203045685279184
27.769593814800565, 0.3451776649746192
29.579740469332044, 0.3477157360406091
29.53901873762633, 0.42639593908629436
27.73412650008914, 0.41370558375634514
34.94712742899501, 0.47715736040609125
34.75534120870358, 0.3477157360406091
41.65439072220085, 0.5177664974619288
41.68854443266371, 0.4517766497461929
41.75291104084372, 0.3274111675126903
41.511207859106555, 0.2944162436548222
41.52565750584085, 0.26649746192893387
41.540107152575125, 0.2385786802030455
44.14761158598949, 0.20050761421319785
41.86456740197229, 0.11167512690355319
48.83586514914101, 0.14213197969543145
48.56657627818385, 0.16243654822335007
57.345393471386906, 0.20050761421319785
56.87118233765259, 0.11675126903553279
63.34987849160702, 0.09898477157360386
104.48933634836789, 0.11167512690355319
104.50378599510216, 0.08375634517766484
